name,address,rating,price_level,types,website,phone,number of ratings,business_status,,
Charleys Cheesesteaks,"2399 Meadowbrook Mall Road Space F-8007 Ste F-8007, Bridgeport",4.1,1,"restaurant, point_of_interest, food, establishment",https://www.charleys.com/locations/meadowbrook-mall/,(304) 842-6161,67,OPERATIONAL,,
Tavern 1608,"1608 Wallace Pike, Lumberport",4.1,1,"bar, restaurant, point_of_interest, food, establishment",,(304) 783-4352,28,OPERATIONAL,,
Oliverio's Ristorante,"507 East Main Street, Bridgeport",4.5,2,"restaurant, point_of_interest, food, establishment",http://oliveriosristorante.com/,(304) 842-7388,1043,OPERATIONAL,,
Buffalo Wild Wings,"45 Betten Court, Bridgeport",4.2,2,"bar, meal_takeaway, restaurant, point_of_interest, food, establishment",https://www.buffalowildwings.com/locations/us/wv/bridgeport/45-betten-court/sports-bar-585?utm_source=google%20my%20business&utm_medium=organic&utm_campaign=website%20link,(304) 808-6453,1200,OPERATIONAL,,
Dave's Famous T&L Hot Dogs,"605 Pike Street, Shinnston",4.2,1,"restaurant, point_of_interest, food, establishment",http://www.tandlhotdogs.com/,(304) 371-3515,216,OPERATIONAL,,
Dairy Queen Grill & Chill,"51 Genesis Boulevard, Bridgeport",3.3,1,"restaurant, point_of_interest, store, food, establishment",https://www.dairyqueen.com/en-us/locations/wv/bridgeport/51-genesis-blvd/12356/?utm_source=organic&utm_campaign=yext%2F&y_source=1_ODk5NzA0MC03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,(304) 808-6651,189,OPERATIONAL,,
Sheetz,"20 Oakmont Lane, Bridgeport",3.9,1,"convenience_store, gas_station, car_wash, liquor_store, cafe, restaurant, point_of_interest, store, food, establishment",https://orderz.sheetz.com/#/main/location/store/516,(304) 842-9544,96,OPERATIONAL,,
Miskycha,"139 Conference Center Way Ste. 105, Bridgeport",4.9,N/A,"restaurant, point_of_interest, food, establishment",http://www.facebook.com/miskychausa,(304) 808-6006,227,OPERATIONAL,,
TGI Fridays,"160 South View Drive, Bridgeport",4,2,"restaurant, bar, point_of_interest, food, establishment",https://locations.tgifridays.com/wv/bridgeport/160-south-view-dr.html,(304) 608-2022,1144,OPERATIONAL,,
Firehouse Subs Charles Pointe,"139 Conference Center Way, Bridgeport",4.4,1,"restaurant, point_of_interest, food, establishment",http://order.firehousesubs.com/menu?service-mode=TAKEOUT&store-number=675,(304) 808-6094,353,OPERATIONAL,,
Mia Margherita Coal Fired Pizzeria,"139 Conference Center Way #137, Bridgeport",4.5,2,"bar, meal_takeaway, restaurant, point_of_interest, food, establishment",https://miamargherita.com/,(304) 808-6400,1269,OPERATIONAL,,
Tudor's Biscuit World,"1521 Johnson Avenue, Bridgeport",4.1,1,"restaurant, point_of_interest, food, establishment",http://tudorsbiscuitworld.com/,(304) 842-9114,813,OPERATIONAL,,
Dunkin',"20 South Wedge Street, Bridgeport",3.8,1,"meal_takeaway, bakery, cafe, restaurant, point_of_interest, store, food, establishment",https://locations.dunkindonuts.com/en/wv/bridgeport/20-s-wedge-st/349901?utm_source=google&utm_medium=local&utm_campaign=localmaps&utm_content=349901&y_source=1_MTIxMDcxMzEtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,(304) 933-3666,372,OPERATIONAL,,
The Caboose,"641 East Pike Street, Clarksburg",4.4,2,"restaurant, point_of_interest, food, establishment",http://www.facebook.com/TheCabooseWV,(304) 709-7677,545,OPERATIONAL,,
Bluebird Store,"342 West Main Street, Clarksburg",4.6,N/A,"grocery_or_supermarket, restaurant, point_of_interest, store, food, establishment",,(304) 624-7429,140,OPERATIONAL,,
Dave's Famous T & L Hot Dogs,"1202 East Pike Street, Clarksburg",4.3,1,"restaurant, point_of_interest, food, establishment",http://www.tandlhotdogs.com/,(304) 622-3994,534,OPERATIONAL,,
Casey's Family Restaurant,"County Route 19/54, Enterprise",4.1,2,"restaurant, point_of_interest, food, establishment",http://www.caseyswv.com/,(304) 592-5672,258,OPERATIONAL,,
Las Trancas Mexican Restaurant - Clarksburg,"479 Emily Drive, Clarksburg",4.4,1,"restaurant, point_of_interest, food, establishment",https://lastrancasclarksburg.com/,(304) 622-2042,851,OPERATIONAL,,
Burger King,"170 Barnetts Run Road, Bridgeport",3.8,1,"restaurant, point_of_interest, food, establishment",https://burgerking.com/store-locator/store/restaurant_5192,(304) 244-2727,554,OPERATIONAL,,
Circle K,"3748 Hood Avenue, Worthington",3.9,1,"convenience_store, atm, gas_station, meal_takeaway, cafe, finance, restaurant, point_of_interest, store, food, establishment",https://www.circlek.com/store-locator/us/worthington/777-main-st/m4006,(304) 592-2025,10,OPERATIONAL,,
Dairy Queen Grill & Chill,"154 West Main Street, Bridgeport",4.1,1,"restaurant, point_of_interest, store, food, establishment",https://www.dairyqueen.com/en-us/locations/wv/bridgeport/154-w-main-st/461/?utm_source=organic&utm_campaign=yext%2F&y_source=1_ODk5Nzc1MS03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,(304) 842-5906,341,OPERATIONAL,,
IHOP,"185 White Oaks Boulevard, Bridgeport",4.1,1,"restaurant, point_of_interest, food, establishment",https://restaurants.ihop.com/en-us/wv/bridgeport/breakfast-185-white-oaks-blvd-3059?utm_source=google&utm_medium=organic&utm_campaign=google_my_business&utm_term=3059&utm_content=website,(304) 842-6894,2135,OPERATIONAL,,
Subway,"200 Academy Drive, Ripley",3.8,1,"meal_takeaway, restaurant, point_of_interest, food, establishment",https://restaurants.subway.com/united-states/wv/ripley/200-academy-drive?utm_source=yxt-goog&utm_medium=local&utm_term=acq&utm_content=27529&utm_campaign=evergreen-2020&y_source=1_MTQ5MTE2MDMtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,(304) 372-2658,25,OPERATIONAL,,
Subway,"3 Hospitality Drive Suite 1, Ripley",4.3,1,"meal_takeaway, restaurant, point_of_interest, food, establishment",https://restaurants.subway.com/united-states/wv/ripley/3-hospitality-drive?utm_source=yxt-goog&utm_medium=local&utm_term=acq&utm_content=4474&utm_campaign=evergreen-2020&y_source=1_MTQ5MDQ2MjQtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,(304) 372-8670,208,OPERATIONAL,,
Little Caesars Pizza,"329 West Main Street, Ripley",4.1,1,"meal_delivery, meal_takeaway, restaurant, point_of_interest, food, establishment",https://littlecaesars.com/en-us/store/8657,(304) 372-5554,282,OPERATIONAL,,
Subway,"513 Washington Street, Ravenswood",3.6,1,"meal_takeaway, restaurant, point_of_interest, food, establishment",https://restaurants.subway.com/united-states/wv/ravenswood/513-washington-st?utm_source=yxt-goog&utm_medium=local&utm_term=acq&utm_content=25706&utm_campaign=evergreen-2020&y_source=1_MTQ5MDg0MzktNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,(304) 273-8008,100,OPERATIONAL,,
Fairplain Yacht Club,"3869 Cedar Lakes Drive, Ripley",4.5,2,"bar, restaurant, point_of_interest, food, establishment",http://www.fairplainyachtclub.com/,(304) 372-8918,782,OPERATIONAL,,
Gino's Pizza & Spaghetti House,"340 South Church Street, Ripley",3.9,2,"meal_delivery, restaurant, point_of_interest, food, establishment",http://ginospizza.com/,(304) 372-6769,282,OPERATIONAL,,
Long John Silver's,"1-77 &, U.S. 33, Ripley",4.2,1,"meal_takeaway, restaurant, point_of_interest, food, establishment",https://www.ljsilvers.com/?utm_source=listings&utm_medium=yext&utm_campaign=yext2023&utm_id=yext2023&y_source=1_MTc1NzI3MzktNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,(304) 372-4109,470,OPERATIONAL,,
China Buffet,"112 Academy Drive, Ripley",4,1,"restaurant, point_of_interest, food, establishment",https://china-buffet-restaurant.business.site/,(304) 372-2393,312,OPERATIONAL,,
Taco Bell,"500 Washington Street, Ravenswood",4.2,1,"restaurant, point_of_interest, food, establishment",https://locations.tacobell.com/wv/ravenswood/500-washington-st-.html?utm_source=yext&utm_campaign=googlelistings&utm_medium=referral&utm_term=022938&utm_content=website&y_source=1_MzkxNzEyNC03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,(304) 273-5683,311,OPERATIONAL,,
Dairy Queen Grill & Chill,"100 Violet Drive, Ravenswood",3.8,1,"store, restaurant, point_of_interest, food, establishment",https://www.dairyqueen.com/en-us/locations/wv/ravenswood/100-violet-dr/8614/?utm_source=organic&utm_campaign=yext%2F&y_source=1_ODk5ODA4My03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,(304) 273-0100,505,OPERATIONAL,,
Sheetz,"701 West Main Street, Ripley",4.3,1,"convenience_store, gas_station, liquor_store, cafe, car_wash, store, restaurant, point_of_interest, food, establishment",https://orderz.sheetz.com/#/main/location/store/584,(304) 514-5515,383,OPERATIONAL,,
Little Caesars Pizza,"232 Sycamore Street, Ravenswood",4.2,1,"meal_delivery, meal_takeaway, restaurant, point_of_interest, food, establishment",https://littlecaesars.com/en-us/store/10589,(304) 273-5000,205,OPERATIONAL,,
Tudor's Biscuit World,"404 Washington Street Unit B, Ravenswood",4.2,1,"restaurant, point_of_interest, food, establishment",http://tudorsbiscuitworld.com/,(304) 273-2070,356,OPERATIONAL,,
Wendy's,"401 Washington Street, Ravenswood",4,1,"restaurant, point_of_interest, food, establishment",https://locations.wendys.com/united-states/wv/ravenswood/401-washington-st?utm_source=Yext&utm_medium=Google_My_Business&utm_campaign=Local_Search&utm_content=EN_US,(304) 273-3703,374,OPERATIONAL,,
Gino's Pizza & Spaghetti House,"404 Washington Street Unit A, Ravenswood",3.8,N/A,"meal_delivery, restaurant, point_of_interest, food, establishment",http://ginospizza.com/,(304) 273-9367,166,OPERATIONAL,,
Bob Evans,"3 Carter Point, Ripley",3.9,2,"meal_takeaway, restaurant, point_of_interest, food, establishment",https://www.bobevans.com/locations/ripley?utm_source=google&utm_medium=local&utm_campaign=511-Ripley-WV,(304) 372-2956,1200,OPERATIONAL,,
Cozumel Mexican Grill,"250 Clay Lick Road, Ripley",4.4,2,"restaurant, point_of_interest, food, establishment",http://www.cozumelripley.com/,(304) 786-8700,731,OPERATIONAL,,
McDonald's,"509 Washington Street, Ravenswood",3.6,1,"cafe, store, restaurant, point_of_interest, food, establishment",https://www.mcdonalds.com/us/en-us/location/WV/RAVENSWOOD/509-WASHINGTON-ST/12414.html?cid=RF:YXT:GMB::Clicks,(304) 273-8100,680,OPERATIONAL,,
McDonald's,"101 New Stone Ridge Road, Ripley",3.8,1,"cafe, store, restaurant, point_of_interest, food, establishment",https://www.mcdonalds.com/us/en-us/location/WV/RIPLEY/101-NEW-STONE-RIDGE/6055.html?cid=RF:YXT:GMB::Clicks,(304) 372-9611,998,OPERATIONAL,,
McDonald's,"3875 Charleston Road, Ripley",3.8,1,"cafe, store, restaurant, point_of_interest, food, establishment",https://www.mcdonalds.com/us/en-us/location/WV/RIPLEY/3875-CHARLESTON-ROAD/13784.html?cid=RF:YXT:GMB::Clicks,(304) 372-6725,623,OPERATIONAL,,
Burger King,"4497 Cedar Lakes Drive, Ripley",3.8,2,"restaurant, food, point_of_interest, establishment",https://burgerking.com/store-locator/store/restaurant_11122,(304) 372-1022,797,OPERATIONAL,,
Tudor's Biscuit World,"334 South Church Street, Ripley",4.3,1,"restaurant, food, point_of_interest, establishment",http://tudorsbiscuitworld.com/,(304) 372-7088,488,OPERATIONAL,,
Taco Bell,"631 West Main Street, Ripley",3.6,1,"meal_takeaway, restaurant, food, point_of_interest, establishment",https://locations.tacobell.com/wv/ripley/631-west-main-street.html?utm_source=yext&utm_campaign=googlelistings&utm_medium=referral&utm_term=038806&utm_content=website&y_source=1_MzkxNzE4OS03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,(304) 372-7780,644,OPERATIONAL,,
Domino's Pizza,"344 South Church Street, Ripley",4,1,"meal_takeaway, meal_delivery, restaurant, food, point_of_interest, establishment",https://www.dominos.com/en/?utm_source=google&utm_medium=loclist&utm_campaign=localmaps,(304) 372-1600,123,OPERATIONAL,,
KFC,"709 West Main Street, Ripley",3.6,1,"restaurant, food, point_of_interest, establishment",https://locations.kfc.com/wv/ripley/709-west-main-street,(304) 372-8106,350,OPERATIONAL,,
Arby's,"627 Main Street W, Ripley",3.9,1,"meal_takeaway, restaurant, store, food, point_of_interest, establishment",https://locations.arbys.com/wv/ripley/627-main-st-w.html?utm_source=google%20my%20business&utm_medium=organic&utm_campaign=website%20link,(304) 372-4554,374,OPERATIONAL,,
Jeanie's Hot Spot,"618 North Church Street, Ripley",N/A,N/A,"restaurant, food, point_of_interest, establishment",,,N/A,CLOSED_TEMPORARILY,,
Downtowner Restaurant,"119 North Court Street, Ripley",4.6,1,"restaurant, food, point_of_interest, establishment",,(304) 372-6200,207,OPERATIONAL,,
Maka Mia Pizza Subs and Pub,"113 North Court Street, Ripley",4.2,1,"restaurant, food, point_of_interest, establishment",https://www.makamiapizza.com/,(304) 372-7827,311,OPERATIONAL,,
Pete's Hotdogs,"230 South Church Street, Ripley",4.5,N/A,"restaurant, food, point_of_interest, establishment",,(304) 372-4068,64,OPERATIONAL,,
Fat Albert's Pizza,"499 South Church Street, Ripley",4.3,2,"restaurant, food, point_of_interest, establishment",,(304) 372-4343,207,OPERATIONAL,,
Dairy Queen,"241 South Church Street, Ripley",4.2,1,"restaurant, store, food, point_of_interest, establishment",https://www.dairyqueen.com/en-us/locations/wv/ripley/241-church-st-s/419/?utm_source=organic&utm_campaign=yext%2F&y_source=1_ODk5NTA4MC03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,(304) 372-7177,526,OPERATIONAL,,
Wendy's,"307 West Main Street, Ripley",4.1,1,"restaurant, food, point_of_interest, establishment",https://locations.wendys.com/united-states/wv/ripley/307-west-main-street?utm_source=Yext&utm_medium=Google_My_Business&utm_campaign=Local_Search&utm_content=EN_US,(304) 372-3803,559,OPERATIONAL,,
Viking Power Nutrition,"342 South Church Street, Ripley",N/A,N/A,"restaurant, food, point_of_interest, establishment",,(304) 552-0754,N/A,OPERATIONAL,,
Las Trancas Mexican Restaurant - Ripley,"157 McGraw Street, Ripley",4.4,2,"restaurant, food, point_of_interest, establishment",,(304) 514-2141,1002,OPERATIONAL,,
Roadhouse 2081,"150 Clay Lick Road, Ripley",4,2,"restaurant, food, point_of_interest, establishment",https://www.roadhouse2081.com/,(304) 372-2052,1182,OPERATIONAL,,
Samurai Hibachi & Sushi,"2998 Charleston Road, Ripley",4.3,2,"restaurant, food, point_of_interest, establishment",https://www.samuraihibachisushiripley.com/,(304) 786-1098,91,OPERATIONAL,,
Crossroads of Evans,"1206 Evans Road, Evans",4.6,N/A,"convenience_store, clothing_store, restaurant, store, food, point_of_interest, establishment",https://crossroads-of-evans.business.site/?utm_source=gmb&utm_medium=referral,(304) 372-2868,20,OPERATIONAL,,
Speedy Cafe,"3451 Charleston Road, Ripley",5,1,"restaurant, convenience_store, store, food, point_of_interest, establishment",https://www.speedway.com/locations/WV/Ripley/3451-Charleston-Rd,(304) 372-5579,1,OPERATIONAL,,
Hot Stuff Pizza,"28 Wilding Road, Ravenswood",5,1,"restaurant, food, point_of_interest, establishment",,(304) 273-3021,2,OPERATIONAL,,
The Dawg Pound,"1125 County Route 2/19, Ravenswood",4.7,1,"bar, restaurant, food, point_of_interest, establishment",https://dawg-pound.business.site/,(304) 273-3399,241,OPERATIONAL,,
Las Fajitas Mexican-Grill,"205 Washington Street, Ravenswood",4.7,N/A,"restaurant, food, point_of_interest, establishment",https://las-fajitas-mexican-grill.business.site/,(304) 273-0509,219,OPERATIONAL,,
The Landing Ravenswood,"101 Mulberry Street, Ravenswood",4.3,1,"bar, restaurant, food, point_of_interest, establishment",,(304) 273-2500,78,OPERATIONAL,,
Pizza Hut,"425 Washington Street, Ravenswood",3.6,1,"meal_delivery, meal_takeaway, restaurant, food, point_of_interest, establishment",https://locations.pizzahut.com/wv/ravenswood/425-washington-street?utm_medium=organic&utm_source=local&utm_campaign=googlelistings&utm_content=website&utm_term=309253,(304) 273-5600,166,OPERATIONAL,,
Great Wall Restaurant,"437 Washington Street, Ravenswood",4.2,1,"restaurant, food, point_of_interest, establishment",,(304) 273-2233,109,OPERATIONAL,,
J-Mart,"8610 Pt. Pleasant Rd., Millwood",4.8,N/A,"convenience_store, gas_station, meal_takeaway, restaurant, food, point_of_interest, store, establishment",http://www.21country.com/,(304) 512-7890,22,OPERATIONAL,,
Hilltop Pizza,"36 New Haven Road #9524, Mount Alto",4.4,2,"restaurant, food, point_of_interest, establishment",http://www.hilltop-pizza.com/,(304) 895-3477,211,OPERATIONAL,,
Your Family Restaurant,"Interstate 77, Kenna",4.6,1,"restaurant, food, point_of_interest, establishment",,(304) 372-4847,158,OPERATIONAL,,
Hollywood Casino at Charles Town Races,"750 Hollywood Drive, Charles Town",4,N/A,"casino, restaurant, point_of_interest, food, establishment",https://www.hollywoodcasinocharlestown.com/?utm_source=google&utm_medium=organic&utm_campaign=localseo,(800) 795-7001,8135,OPERATIONAL,,
Hillbrook Inn,"4490 Summit Point Road, Charles Town",4.7,N/A,"spa, lodging, restaurant, point_of_interest, food, establishment",https://www.hillbrookinn.com/?utm_source=google&utm_medium=organic&utm_campaign=googlemybusiness,(304) 725-4223,687,OPERATIONAL,,
Breaux Vineyards,"36888 Breaux Vineyards Lane, Purcellville",4.5,N/A,"tourist_attraction, bar, restaurant, point_of_interest, food, establishment",https://www.breauxvineyards.com/,(540) 668-6299,561,OPERATIONAL,,
Subway,"Rt 340 Suite 1A, Charles Town",3.6,1,"meal_takeaway, restaurant, point_of_interest, food, establishment",https://restaurants.subway.com/united-states/wv/charles-town/rt-340?utm_source=yxt-goog&utm_medium=local&utm_term=acq&utm_content=7465&utm_campaign=evergreen-2020&y_source=1_MTQ5ODQxMDAtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,(304) 725-3226,99,OPERATIONAL,,
Grandale Vintner's Table,"14001 Harpers Ferry Road, Purcellville",4.4,3,"restaurant, point_of_interest, food, establishment",http://grandalerestaurant.com/,(540) 668-6000,74,CLOSED_TEMPORARILY,,
Surf & Turf Dining Room,"741 East Washington Street, Charles Town",3.9,2,"restaurant, point_of_interest, food, establishment",,(304) 725-6106,39,OPERATIONAL,,
La Mezzaluna Café,"90 Somerset Boulevard, Charles Town",4.4,2,"meal_takeaway, restaurant, point_of_interest, food, establishment",https://www.lamezzalunacafewv.com/,(304) 202-5425,500,OPERATIONAL,,
Ruby Tuesday,"701 Willow Spring Drive, Charles Town",4.3,2,"restaurant, point_of_interest, food, establishment",https://rubytuesday.com/,(304) 728-6680,1324,OPERATIONAL,,
KFC,"620 East Washington Street, Charles Town",3.2,1,"restaurant, point_of_interest, food, establishment",https://locations.kfc.com/wv/charles-town/620-e-washington-street,(304) 725-7681,299,OPERATIONAL,,
White Horse Tavern,"4328 William L Wilson Freeway, Harpers Ferry",4.1,2,"bar, restaurant, point_of_interest, food, establishment",https://www.whitehorsetavernhf.com/,(304) 535-6307,1017,OPERATIONAL,,
Domino's Pizza,"201 North Mildred Street, Ranson",4.2,1,"meal_delivery, meal_takeaway, restaurant, point_of_interest, food, establishment",https://www.dominos.com/en/?utm_source=google&utm_medium=loclist&utm_campaign=localmaps,(304) 725-2095,289,OPERATIONAL,,
Jersey Mike's Subs,"71 Jefferson Crossing Way, Charles Town",4.3,1,"meal_takeaway, store, restaurant, point_of_interest, food, establishment",https://www.jerseymikes.com/26001/charles-town-wv,(304) 725-0070,285,OPERATIONAL,,
Sheetz,"1130 County Route 340/4, Charles Town",3.9,1,"convenience_store, gas_station, liquor_store, cafe, car_wash, store, restaurant, point_of_interest, food, establishment",https://orderz.sheetz.com/#/main/location/store/438,(304) 724-8710,67,OPERATIONAL,,
Grandma's Diner,"227 West Washington Street, Charles Town",4.1,1,"restaurant, food, point_of_interest, establishment",,(304) 724-9960,345,OPERATIONAL,,
Panera Bread,"72 Oak Lee Drive, Ranson",4,2,"cafe, meal_takeaway, bakery, store, restaurant, food, point_of_interest, establishment",https://www.panerabread.com/en-us/cafe/locations/wv/ranson/72-oak-lee-drive?utm_medium=local&utm_source=google&utm_campaign=dpm-dist&utm_term=204431&utm_content=main,(304) 728-3000,490,OPERATIONAL,,
Ortega's Taco Shop,"100 West Washington Street, Charles Town",4.6,1,"restaurant, food, point_of_interest, establishment",https://www.ortegastacoshop.com/,(304) 728-4321,661,OPERATIONAL,,
El Pollon,"38 Joshua M. Freeman Boulevard #102, Ranson",4.1,1,"restaurant, food, point_of_interest, establishment",http://www.elpollonwv.com/,(304) 725-8635,341,OPERATIONAL,,
9 Dragons,"580 East 5th Avenue, Charles Town",4.1,N/A,"restaurant, food, point_of_interest, establishment",,(304) 724-4269,19,OPERATIONAL,,
Applebee's Grill + Bar,"129 Jefferson Crossing Way, Charles Town",3.8,2,"restaurant, bar, food, point_of_interest, establishment",https://restaurants.applebees.com/en-us/wv/charles-town/129-jefferson-crossing-way-79091?utm_source=google&utm_medium=organic&utm_campaign=google_my_business&utm_term=79091&utm_content=website,(304) 728-8866,897,OPERATIONAL,,
Subway,"217 Oak Lee Drive Suite 5, Ranson",4.4,1,"meal_takeaway, restaurant, food, point_of_interest, establishment",https://restaurants.subway.com/united-states/wv/ranson/217-oak-lee-drive?utm_source=yxt-goog&utm_medium=local&utm_term=acq&utm_content=61938&utm_campaign=evergreen-2020&y_source=1_MTQ4OTQyNjEtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,(304) 724-6511,96,OPERATIONAL,,
Papa Johns Pizza,"769 East Washington Street, Charles Town",3.8,1,"restaurant, food, point_of_interest, establishment",https://locations.papajohns.com/united-states/wv/25414/charles-town/769-e-washington-st?utm_source=gmb&utm_medium=organic&y_source=1_MTA2OTEyNDMtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,(304) 728-7272,124,OPERATIONAL,,
Wendy's,"764 East Washington Street, Charles Town",3.8,1,"restaurant, food, point_of_interest, establishment",https://locations.wendys.com/united-states/wv/charles-town/764-east-washington-st?utm_source=Yext&utm_medium=Google_My_Business&utm_campaign=Local_Search&utm_content=EN_US,(304) 725-1980,729,OPERATIONAL,,
Abolitionist Ale Works,"129 West Washington Street #1529, Charles Town",4.7,N/A,"liquor_store, bar, store, restaurant, food, point_of_interest, establishment",http://www.abolitionistaleworks.com/,(681) 252-1548,324,OPERATIONAL,,
Sumittra Thai Kitchen & Bar,"213 West Washington Street, Charles Town",4.5,2,"restaurant, food, point_of_interest, establishment",http://sumittrathaiwv.com/,(304) 885-8747,451,OPERATIONAL,,
China Fortune,"60 Patrick Henry Way, Charles Town",4.1,1,"meal_takeaway, restaurant, food, point_of_interest, establishment",https://www.chinafortunecharlestown.com/,(304) 725-3499,408,OPERATIONAL,,
Torlone's Pizza,"20605 Charles Town Road, Charles Town",4.5,1,"restaurant, food, point_of_interest, establishment",https://m.facebook.com/Torlones-209262822435498/,(304) 725-0916,168,OPERATIONAL,,
Rainbow Road Club,"137 Berryville Pike, Charles Town",4.7,N/A,"bar, restaurant, food, point_of_interest, establishment",,(304) 725-3540,162,OPERATIONAL,,
China Kitchen,"101 West German Street, Shepherdstown",3.3,1,"restaurant, food, point_of_interest, establishment",https://facebook.com/China-Kitchen-160531467300207/,(304) 876-6620,106,OPERATIONAL,,
Glory Days Grill,"190 Oak Lee Drive, Ranson",4.3,2,"bar, restaurant, food, point_of_interest, establishment",https://www.glorydaysgrill.com/locations/west-virginia/ranson-charles-town/?locid=17,(304) 728-9000,1714,OPERATIONAL,,
GB,"3355 Lord Fairfax Highway, Berryville",4.3,N/A,"gas_station, store, restaurant, food, point_of_interest, establishment",https://www.facebook.com/pages/340-Fuel-Depot/1492330750992798,(540) 955-1800,420,OPERATIONAL,,
Longshot Billiards LLC,"76 Wolfcraft Way, Charles Town",4.3,1,"bar, store, restaurant, food, point_of_interest, establishment",https://www.longshotbilliards.com/,(304) 724-1975,388,OPERATIONAL,,
Coffee Mill,"140 Potomac Street, Harpers Ferry",3.2,N/A,"cafe, store, restaurant, food, point_of_interest, establishment",,(304) 535-1257,149,OPERATIONAL,,
Touch of Texas,"12261 Winchester Avenue, Bunker Hill",4.3,N/A,"bar, night_club, restaurant, food, point_of_interest, establishment",https://www.touchoftexaswv.com/,(304) 821-8419,449,OPERATIONAL,,
Market Table Bistro,"13 Broad Way, Lovettsville",4.7,3,"restaurant, food, point_of_interest, establishment",http://www.markettablebistro.com/,(540) 822-3008,228,OPERATIONAL,,
Chick-fil-A,"156 Joshua M. Freeman Boulevard, Ranson",4.7,1,"restaurant, food, point_of_interest, establishment",https://www.chick-fil-a.com/locations/wv/ranson?utm_source=yext&utm_medium=link,(304) 767-9730,1707,OPERATIONAL,,
Golden Horseshoe Club,"1335 North Mildred Street, Ranson",3.4,N/A,"bar, store, restaurant, food, point_of_interest, establishment",,(304) 725-3885,81,OPERATIONAL,,
Buffalo Wild Wings,"70 Nitro Market Place, Cross Lanes",4,2,"bar, meal_takeaway, restaurant, food, point_of_interest, establishment",https://www.buffalowildwings.com/locations/us/wv/cross-lanes/70-nitro-market-place-blvd/sports-bar-684?utm_source=google%20my%20business&utm_medium=organic&utm_campaign=website%20link,(304) 776-9180,1060,OPERATIONAL,,
"Pies & Pints - Charleston, WV","222 Capitol Street, Charleston",4.6,2,"restaurant, food, point_of_interest, establishment",https://www.piesandpints.net/,(304) 342-7437,2434,OPERATIONAL,,
Subway,"1605 Kanawha Boulevard West, Charleston",4,1,"meal_takeaway, restaurant, food, point_of_interest, establishment",https://restaurants.subway.com/united-states/wv/charleston/1605-kanawha-blvd-w?utm_source=yxt-goog&utm_medium=local&utm_term=acq&utm_content=5699&utm_campaign=evergreen-2020&y_source=1_MTQ4OTQxMzgtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,(304) 344-3449,136,OPERATIONAL,,
Subway,"3516 MacCorkle Avenue Southeast, Charleston",3.9,1,"meal_takeaway, restaurant, food, point_of_interest, establishment",https://restaurants.subway.com/united-states/wv/charleston/3516-maccorkle-ave-se?utm_source=yxt-goog&utm_medium=local&utm_term=acq&utm_content=2057&utm_campaign=evergreen-2020&y_source=1_MTQ5MDIxNzItNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,(304) 925-7848,266,OPERATIONAL,,
Bridge Road Bistro & Catering,"915 Bridge Road, Charleston",4.4,3,"restaurant, bar, food, point_of_interest, establishment",http://www.thebridgeroadbistro.com/,(304) 720-3500,388,OPERATIONAL,,
Subway,"923 Dunbar Avenue, Dunbar",4.1,1,"meal_takeaway, restaurant, food, point_of_interest, establishment",https://restaurants.subway.com/united-states/wv/dunbar/923-dunbar-ave?utm_source=yxt-goog&utm_medium=local&utm_term=acq&utm_content=6685&utm_campaign=evergreen-2020&y_source=1_MTQ5MDgzMTAtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,(304) 768-1339,187,OPERATIONAL,,
The Chop House,"1003 Charleston Town Center, Charleston",4.2,4,"restaurant, food, point_of_interest, establishment",http://www.thechophousecharleston.com/,(304) 344-3954,305,OPERATIONAL,,
Subway,"6 Riverwalk Plaza #2, South Charleston",3.8,1,"meal_takeaway, restaurant, food, point_of_interest, establishment",https://restaurants.subway.com/united-states/wv/south-charleston/6-riverwalk-plaza?utm_source=yxt-goog&utm_medium=local&utm_term=acq&utm_content=3432&utm_campaign=evergreen-2020&y_source=1_MTQ5MDc0MTQtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,(304) 744-0195,162,OPERATIONAL,,
